Name,Area,Population,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Health expenditures,HIV/AIDS - adult prevalence rate,HIV/AIDS - people living with HIV/AIDS,HIV/AIDS - deaths,Obesity - adult prevalence rate,Children under the age of 5 years underweight,Education expenditures,"Unemployment, youth ages 15-24",Exchange Rate,Currency,GDP (purchasing power parity),GDP - real growth rate,GDP - per capita (PPP),Gross national saving,Industrial production growth rate,Labor Force,Unemployment rate,Distribution of family income,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Stock of narrow money,Stock of broad money,Stock of domestic credit,Market value of publicly traded shares,Current account balance,Exports,Exports - partners,Exports - commodities,Imports,Imports - partners,Imports - commodities,Reserves of foreign exchange and gold,External debt,Stock of direct foreign investment - at home,Stock of direct foreign investment - abroad,Military expenditures,Airports,Railways,Roadways,Waterways,Merchant marine,Electricity - production,Electricity - consumption,Electricity - exports,Electricity - imports,Electricity - installed generating capacity,Electricity - from fossil fuels,Electricity - from nuclear fuels,Electricity - from hydroelectric plants,Electricity - from other renewable sources,Crude oil - production,Crude oil - exports,Crude oil - imports,Crude oil - proved reserves,Refined petroleum products - production,Refined petroleum products - consumption,Refined petroleum products - exports,Refined petroleum products - imports,Natural gas - production,Natural gas - consumption,Natural gas - exports,Natural gas - imports,Natural gas - proved reserves,Telephones - fixed lines,Telephones - mobile cellular,Internet users
Aruba,180 sq km,"116,576",1.24%,"12.3 births/1,000 population","8.5 deaths/1,000 population","8.7 migrant(s)/1,000 population",-,"10.4 deaths/1,000 live births",77.1 years,1.83 children born/woman,-,-,-,-,-,-,6.5% of GDP,28.90%,1.79,Aruban guilders/florins per US dollar -,$4.158 billion,1.20%,"$37,500 ",17% of GDP,-,"51,610",7.70%,-,25.2% (of GDP),-2.7% (of GDP),86% of GDP,-0.50%,1%,7%,$0 ,$0 ,$1.848 billion,-,$22 million,$137.1 million,"US 20.2%, Colombia 17.6%, Venezuela 13%, Netherlands 9.1%, Thailand 8.4%, Panama 4.8%(2017)","live animals and animal products, art and collectibles, machinery and electrical equipment, transport equipment",$1.122 billion,"US 53.7%, Netherlands 13.1%(2017)","machinery and electrical equipment, refined oil for bunkering and reexport, chemicals; foodstuffs",$921.8 million,$693.2 million,-,-,-,1,-,-,-,-,939 million kWh,873.3 million kWh,0 kWh,0 kWh,"296,000 kW",87% of total installed capacity,0% of total installed capacity,0% of total installed capacity,13% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"8,000 bbl/day",0 bbl/day,"7,891 bbl/day",1 cu m,1 cu m,1 cu m,1 cu m,0 cu m,"35,000","141,000","106,309"
Antigua and Barbuda,442.6 sq km,"95,882",1.20%,"15.6 births/1,000 population","5.8 deaths/1,000 population","2.2 migrant(s)/1,000 population",-,"11.7 deaths/1,000 live births",76.9 years,1.99 children born/woman,5.5% of GDP,-,-,-,18.90%,-,2.5% of GDP,-,2.7,East Caribbean dollars (XCD) per US dollar -,$2.398 billion,2.80%,"$26,400 ",17.3% of GDP,6.80%,"30,000",11%,-,19.6% (of GDP),-2.4% (of GDP),86.8% of GDP,2.50%,6.50%,9.31%,$349.2 million,$349.2 million,$909.6 million,-,-$112 million,$86.7 million,"Poland 62.2%, Cameroon 9.5%, US 5.1%, UK 4.5%(2017)","petroleum products, bedding, handicrafts, electronic components, transport equipment, food and live animals",$560 million,"US 48%, Spain 4.2%(2017)","food and live animals, machinery and transport equipment, manufactures, chemicals, oil",-,$441.2 million,-,-,-,3,-,"1,170 km",-,964,331 million kWh,307.8 million kWh,0 kWh,0 kWh,"124,000 kW",97% of total installed capacity,0% of total installed capacity,0% of total installed capacity,3% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"5,000 bbl/day",91 bbl/day,"5,065 bbl/day",0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"22,504","180,000","60,000"
United Arab Emirates,"83,600 sq km","9,701,315",1.44%,"9.8 births/1,000 population","1.7 deaths/1,000 population","10.5 migrant(s)/1,000 population","6 deaths/100,000 live births","5.5 deaths/1,000 live births",78.7 years,1.73 children born/woman,3.6% of GDP,-,-,-,31.70%,-,-,12.10%,3.673,Emirati dirhams (AED) per US dollar -,$696 billion,0.80%,"$68,600 ",28.5% of GDP,1.80%,5.344 million,1.60%,-,28.8% (of GDP),-0.2% (of GDP),19.7% of GDP,2%,-,6%,$134 billion,$134 billion,$395.5 billion,$195.9 billion,$26.47 billion,$308.5 billion,"India 10.1%, Iran 9.9%, Japan 9.3%, China 5.4%, Oman 5%, Switzerland 4.4%, South Korea 4.1%(2017)","crude oil 45%, natural gas, reexports, dried fish, dates(2012 est.)",$229.2 billion,"China 8.5%, US 6.8%, India 6.6%(2017)","machinery and transport equipment, chemicals, food",$95.37 billion,$237.6 billion,$129.9 billion,$124.4 billion,4.86% of GDP,43,-,"4,080 km",-,618,121.8 billion kWh,113.2 billion kWh,0 kWh,1.141 billion kWh,28.91 million kW,99% of total installed capacity,0% of total installed capacity,0% of total installed capacity,1% of total installed capacity,3.174 million bbl/day,2.552 million bbl/day,0 bbl/day,97.8 billion bbl,"943,500 bbl/day","896,000 bbl/day","817,700 bbl/day","392,000 bbl/day",62.01 billion cu m,74.48 billion cu m,7.504 billion cu m,20.22 billion cu m,6.091 trillion cu m,"2,320,837","19,826,224","5,370,299"
Afghanistan,"652,230 sq km","34,940,837",2.37%,"37.5 births/1,000 population","13.2 deaths/1,000 population","-0.9 migrant(s)/1,000 population","396 deaths/100,000 live births","108.5 deaths/1,000 live births",52.1 years,5.02 children born/woman,8.2% of GDP,-,"7,500",-,5.50%,25%,3.2% of GDP,-,7.87,afghanis (AFA) per US dollar -,$69.45 billion,2.70%,"$2,000 ",22.7% of GDP,-1.90%,8.478 million,23.90%,29.4,11.2% (of GDP),-15.1% (of GDP),7% of GDP,5%,-,15%,$6.644 billion,$6.945 billion,-$240.6 million,-,$1.014 billion,$784 million,"India 56.5%, Pakistan 29.6%(2017)","opium, fruits and nuts, handwoven carpets, wool, cotton, hides and pelts, precious and semi-precious gems, and medical herbs",$7.616 billion,"China 21%, Iran 20.5%, Pakistan 11.8%, Kazakhstan 11%, Uzbekistan 6.8%, Malaysia 5.3%(2017)","machinery and other capital goods, food, textiles, petroleum products",$7.187 billion,$2.84 billion,-,-,0.89% of GDP,43,-,"42,150 km","1,200 km",-,1.211 billion kWh,5.526 billion kWh,0 kWh,4.4 billion kWh,"634,100 kW",45% of total installed capacity,0% of total installed capacity,52% of total installed capacity,4% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"35,000 bbl/day",0 bbl/day,"34,210 bbl/day",164.2 million cu m,164.2 million cu m,0 cu m,0 cu m,49.55 billion cu m,"118,769","23,929,713","3,531,770"
Algeria,"2,381,740 sq km","41,657,488",1.63%,"21.5 births/1,000 population","4.3 deaths/1,000 population","-0.9 migrant(s)/1,000 population","140 deaths/100,000 live births","18.9 deaths/1,000 live births",77.2 years,2.66 children born/woman,7.2% of GDP,-,"14,000",-,27.40%,3%,4.3% of GDP,25.20%,108.9,Algerian dinars (DZD) per US dollar -,$630 billion,1.40%,"$15,200 ",37.8% of GDP,0.60%,11.82 million,11.70%,35.3,32.3% (of GDP),-9.6% (of GDP),27.5% of GDP,5.60%,4%,8%,$84.56 billion,$84.56 billion,$110.2 billion,-,-$22.1 billion,$34.37 billion,"Italy 17.4%, Spain 13%, France 11.9%, US 9.4%, Brazil 6.2%, Netherlands 5.5%(2017)","petroleum, natural gas, and petroleum products 97%(2009 est.)",$48.54 billion,"China 18.2%, France 9.1%, Italy 8%, Germany 7%, Spain 6.9%, Turkey 4.4%(2017)","capital goods, foodstuffs, consumer goods",$97.89 billion,$6.26 billion,$29.05 billion,$1.893 billion,5.81% of GDP,157,"3,973 km","113,655 km",-,110,66.89 billion kWh,55.96 billion kWh,641 million kWh,257 million kWh,19.27 million kW,96% of total installed capacity,0% of total installed capacity,1% of total installed capacity,2% of total installed capacity,1.306 million bbl/day,"756,400 bbl/day","5,340 bbl/day",12.2 billion bbl,"627,900 bbl/day","405,000 bbl/day","578,800 bbl/day","82,930 bbl/day",93.5 billion cu m,41.28 billion cu m,53.88 billion cu m,0 cu m,4.504 trillion cu m,"3,130,090","49,873,389","17,291,463"
Azerbaijan,"86,600 sq km","10,046,516",0.83%,"15.3 births/1,000 population","7 deaths/1,000 population","0 migrant(s)/1,000 population","25 deaths/100,000 live births","23 deaths/1,000 live births",73 years,1.89 children born/woman,6% of GDP,0.10%,"8,000",-,19.90%,4.90%,3% of GDP,13.40%,1.723,Azerbaijani manats (AZN) per US dollar -,$172.2 billion,0.10%,"$17,500 ",24.6% of GDP,-3.80%,5.118 million,5%,33.7,23.5% (of GDP),-1.6% (of GDP),54.1% of GDP,13%,15%,12.70%,$6.202 billion,$6.202 billion,$13.31 billion,-,$1.685 billion,$15.15 billion,"Italy 23.2%, Turkey 13.6%, Israel 6.1%, Russia 5.4%, Germany 5%, Czech Republic 4.6%, Georgia 4.3%(2017)","oil and gas roughly 90%, machinery, foodstuffs, cotton",$9.037 billion,"Russia 17.7%, Turkey 14.8%, China 9.9%, US 8.3%, Ukraine 5.3%, Germany 5.1%(2017)","machinery and equipment, foodstuffs, metals, chemicals",$6.681 billion,$17.41 billion,$79.53 billion,$19.6 billion,3.64% of GDP,37,"2,944 km","52,942 km",-,311,23.57 billion kWh,20.24 billion kWh,265 million kWh,114 million kWh,7.876 million kW,84% of total installed capacity,0% of total installed capacity,14% of total installed capacity,2% of total installed capacity,"789,300 bbl/day","718,800 bbl/day",0 bbl/day,7 billion bbl,"138,900 bbl/day","100,000 bbl/day","46,480 bbl/day","5,576 bbl/day",16.96 billion cu m,10.34 billion cu m,8.042 billion cu m,2.095 billion cu m,991.1 billion cu m,"1,688,325",10.127 million,"7,720,502"
Albania,"28,748 sq km","3,057,220",0.30%,"13.2 births/1,000 population","6.9 deaths/1,000 population","-3.3 migrant(s)/1,000 population","29 deaths/100,000 live births","11.6 deaths/1,000 live births",78.6 years,1.52 children born/woman,8.2% of GDP,-,"1,400",-,21.70%,6.30%,3.5% of GDP,39.80%,121.9,leke (ALL) per US dollar -,$36.01 billion,3.80%,"$12,500 ",15.9% of GDP,6.80%,1.198 million,13.80%,29,27.6% (of GDP),-2% (of GDP),71.8% of GDP,2%,1.25%,8.22%,$4.155 billion,$4.155 billion,$8.122 billion,-,-$908 million,$900.7 million,"Italy 53.4%, Kosovo 7.7%, Spain 5.6%, Greece 4.2%(2017)","apparel and clothing, footwear; asphalt, metals and metallic ores, crude oil; cement and construction materials, vegetables, fruits, tobacco",$4.103 billion,"Italy 28.5%, Turkey 8.1%, Germany 8%, Greece 8%, China 7.9%, Serbia 4%(2017)","machinery and equipment, foodstuffs, textiles, chemicals",$3.59 billion,$9.505 billion,$6.12 billion,-,1.22% of GDP,4,677 km,"18,000 km",41 km,57,7.138 billion kWh,5.11 billion kWh,1.869 billion kWh,1.827 billion kWh,2.109 million kW,5% of total installed capacity,0% of total installed capacity,95% of total installed capacity,0% of total installed capacity,"16,000 bbl/day","17,290 bbl/day",0 bbl/day,168.3 million bbl,"5,638 bbl/day","29,000 bbl/day","3,250 bbl/day","26,660 bbl/day",50.97 million cu m,50.97 million cu m,0 cu m,0 cu m,821.2 million cu m,"247,010","3,497,950","2,016,516"
Armenia,"29,743 sq km","3,038,217",-0.25%,"12.6 births/1,000 population","9.5 deaths/1,000 population","-5.7 migrant(s)/1,000 population","25 deaths/100,000 live births","12.3 deaths/1,000 live births",75.1 years,1.64 children born/woman,4.5% of GDP,0.20%,"3,400",-,20.20%,2.60%,2.8% of GDP,36.30%,487.9,drams (AMD) per US dollar -,$28.34 billion,7.50%,"$9,500 ",17.8% of GDP,5.40%,1.507 million,18.90%,31.5,22.9% (of GDP),-4.8% (of GDP),53.5% of GDP,0.90%,6.50%,14.41%,$1.629 billion,$1.629 billion,$6.712 billion,$132.1 million,-$328 million,$2.361 billion,"Russia 24.2%, Bulgaria 12.8%, Switzerland 12%, Georgia 6.9%, Germany 5.9%, China 5.5%, Iraq 5.4%, UAE 4.6%, Netherlands 4.1%(2017)","unwrought copper, pig iron, nonferrous metals, gold, diamonds, mineral products, foodstuffs, brandy, cigarettes, energy",$3.771 billion,"Russia 28%, China 11.5%, Turkey 5.5%, Germany 4.9%, Iran 4.3%(2017)","natural gas, petroleum, tobacco products, foodstuffs, diamonds, pharmaceuticals, cars",$2.314 billion,$10.41 billion,$4.169 billion,$228 million,4.09% of GDP,11,780 km,"7,792 km",-,-,6.951 billion kWh,5.291 billion kWh,1.424 billion kWh,275 million kWh,4.08 million kW,58% of total installed capacity,9% of total installed capacity,32% of total installed capacity,0% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,"8,000 bbl/day",0 bbl/day,"7,145 bbl/day",0 cu m,2.35 billion cu m,0 cu m,2.35 billion cu m,0 cu m,"505,190","3,488,524","1,891,775"
Andorra,468 sq km,"85,708",-0.01%,"7.3 births/1,000 population","7.4 deaths/1,000 population","0 migrant(s)/1,000 population",-,"3.6 deaths/1,000 live births",82.9 years,1.41 children born/woman,8.1% of GDP,-,-,-,25.60%,-,3.3% of GDP,-,0.885,euros (EUR) per US dollar -,$3.327 billion,-1.10%,"$49,900 ",-,-,"39,750",3.70%,-,69% (of GDP),-6.9% (of GDP),41% of GDP,-0.90%,-,-,-,-,-,-,-,$78.71 million,-,"tobacco products, furniture",$1.257 billion,-,"consumer goods, food, fuel, electricity",-,$0 ,-,-,-,-,-,320 km,-,-,99.48 million kWh,221.6 million kWh,"6,000 kWh",471.3 million kWh,"520,000 kW",61% of total installed capacity,0% of total installed capacity,23% of total installed capacity,15% of total installed capacity,0 bbl/day,0 bbl/day,0 bbl/day,0 bbl,0 bbl/day,-,-,-,0 cu m,0 cu m,0 cu m,0 cu m,0 cu m,"38,411","80,337","83,887"
Angola,"1,246,700 sq km","30,355,880",3.49%,"43.7 births/1,000 population","9 deaths/1,000 population","0.2 migrant(s)/1,000 population","477 deaths/100,000 live births","65.8 deaths/1,000 live births",60.6 years,6.09 children born/woman,3.3% of GDP,1.90%,"310,000","13,000",8.20%,19%,3.5% of GDP,16.70%,172.6,kwanza (AOA) per US dollar -,$193.6 billion,-2.50%,"$6,800 ",28.6% of GDP,2.50%,12.51 million,6.60%,42.7,29.3% (of GDP),-6.7% (of GDP),65% of GDP,29.80%,9%,15.82%,$32.39 billion,$32.39 billion,$16.02 billion,-,-$1.254 billion,$33.07 billion,"China 61.2%, India 13%, US 4.2%(2017)","crude oil, diamonds, refined petroleum products, coffee, sisal, fish and fish products, timber, cotton",$19.5 billion,"Portugal 17.8%, China 13.5%, US 7.4%, South Africa 6.2%, Brazil 6.1%, UK 4%(2017)","machinery and electrical equipment, vehicles and spare parts; medicines, food, textiles, military goods",$17.29 billion,$42.08 billion,$11.21 billion,$28 billion,2.95% of GDP,176,"2,852 km","51,429 km","1,300 km",55,10.2 billion kWh,9.036 billion kWh,0 kWh,0 kWh,2.613 million kW,34% of total installed capacity,0% of total installed capacity,64% of total installed capacity,2% of total installed capacity,1.666 million bbl/day,1.782 million bbl/day,0 bbl/day,9.523 billion bbl,"53,480 bbl/day","130,000 bbl/day","30,340 bbl/day","111,600 bbl/day",3.115 billion cu m,821.2 million cu m,3.993 billion cu m,0 cu m,308.1 billion cu m,"161,070","13,323,952","2,622,403"
